10259,greek
25693,southern_us
20130,filipino
22213,indian
13162,indian
6602,jamaican
42779,spanish
3735,italian
16903,mexican
12734,italian
5875,italian
45887,chinese
2698,italian
41995,mexican
31908,italian
24717,indian
34466,british
1420,italian
2941,thai
8152,vietnamese
13121,thai
40523,mexican
40989,southern_us
29630,chinese
49136,italian
26705,chinese
27976,cajun_creole
22087,italian
9197,chinese
1299,mexican
40429,italian
34419,cajun_creole
10276,mexican
33465,thai
39250,italian
37963,cajun_creole
20051,italian
11300,filipino
17610,southern_us
37405,southern_us
28302,italian
31634,brazilian
32304,mexican
36341,indian
29369,mexican
27564,chinese
18515,french
3335,southern_us
4499,southern_us
4906,southern_us
5767,japanese
30748,southern_us
35930,italian
44902,southern_us
31119,italian
3535,jamaican
47028,japanese
38112,indian
2646,italian
5206,irish
38233,thai
39267,thai
11913,indian
20591,jamaican
70,italian
43928,thai
8530,korean
275,french
43769,french
49111,southern_us
11886,spanish
45839,indian
699,moroccan
24568,italian
8820,italian
16582,moroccan
9058,moroccan
4715,vietnamese
29061,japanese
2107,mexican
22825,cajun_creole
13758,southern_us
6886,french
14874,indian
43399,indian
38254,italian
41596,italian
33989,indian
17004,korean
4969,spanish
31831,italian
46648,southern_us
36888,southern_us
34471,greek
25164,mexican
39600,mexican
46357,southern_us
46905,indian
8753,italian
37337,italian
17636,italian
8997,japanese
28851,italian
4635,greek
7782,korean
8031,indian
49434,mexican
31318,southern_us
31027,irish
47095,korean
4574,chinese
19757,mexican
35570,southern_us
44812,chinese
27858,moroccan
18624,irish
9406,chinese
35132,irish
33071,mexican
8321,italian
20955,italian
45776,italian
6043,jamaican
336,mexican
25751,japanese
793,spanish
34367,chinese
7406,mexican
7473,british
7532,indian
5924,thai
5802,southern_us
41078,mexican
20665,spanish
39471,french
9595,italian
27869,indian
44776,british
17771,spanish
43970,italian
27165,korean
11190,indian
21872,mexican
29853,mexican
1154,southern_us
9069,french
46975,cajun_creole
4892,indian
21467,chinese
20919,italian
42013,italian
17821,italian
44138,southern_us
5980,greek
41961,japanese
27008,cajun_creole
31867,italian
34248,korean
13792,mexican
38502,indian
7023,italian
7783,mexican
2472,korean
45193,chinese
7501,french
34930,chinese
42967,spanish
14080,chinese
45352,spanish
46205,japanese
47427,mexican
40064,french
9010,japanese
18611,mexican
35124,italian
45605,filipino
16334,southern_us
32035,italian
16810,italian
3641,chinese
43374,mexican
9112,indian
14970,korean
41396,mexican
4748,mexican
41833,japanese
18031,greek
29734,mexican
26415,southern_us
29801,chinese
24351,british
8480,japanese
27023,italian
10425,mexican
37188,irish
24338,greek
3457,cajun_creole
1355,japanese
40738,italian
42380,southern_us
16857,southern_us
2923,southern_us
7528,italian
15990,indian
27615,chinese
26061,japanese
23053,mexican
5090,mexican
36862,french
873,mexican
23726,mexican
48576,irish
25118,chinese
17586,mexican
22678,greek
428,korean
